-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.4639,3.4676,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4666,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4667,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4639,3.4692,0.4609,0.2183,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4641,3.4634,0.4609,0.2182,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0002,4.4633,3.4628,0.4608,0.2179,0.0003,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0092,4.4663,3.4701,0.4605,0.2169,0.0008,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0009,4.4551,3.4567,0.4595,0.2141,0.0019,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0122,4.4563,3.4465,0.457,0.2081,0.0042,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0134,4.4772,3.4435,0.4527,0.1961,0.0085,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0275,4.4599,3.4486,0.4452,0.177,0.0157,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0341,4.4407,3.422,0.4336,0.1525,0.0271,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0445,4.4522,3.4084,0.4163,0.124,0.0445,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0665,4.469,3.3827,0.3916,0.0925,0.0674,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0932,4.4624,3.3512,0.3582,0.059,0.0944,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.127,4.4355,3.3074,0.3184,0.024,0.1242,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.1588,4.4322,3.2771,0.2742,-0.012,0.156,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.198,4.4608,3.2138,0.2269,-0.0486,0.189,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.2628,4.3995,3.1556,0.1779,-0.0857,0.2226,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.3288,4.4072,3.0858,0.1279,-0.1231,0.2563,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4059,4.4249,3.0252,0.0777,-0.1609,0.2899,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4787,4.3779,2.9678,0.0278,-0.199,0.3232,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.5739,4.3512,2.9067,-0.0216,-0.2375,0.356,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.6621,4.3618,2.8358,-0.0699,-0.2767,0.3882,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.7544,4.3397,2.7565,-0.1172,-0.3165,0.4198,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-1.907,4.4907,6.1477,1.3088,1.3311,-0.7655,-43.8519,-28.7582,-55.5678,-42.6084,65.3764,19.5922
-0.3169,4.3788,3.5707,0.0467,0.3828,0.0153,-43.8518,-28.7582,-55.568,-42.6087,65.3754,19.5926
0.8421,4.2183,3.0486,-0.2005,-0.1774,0.4711,-43.8518,-28.7582,-55.5681,-42.6087,65.3749,19.5927
0.8128,4.1618,2.7186,-0.1535,-0.2431,0.4689,-43.8518,-28.7582,-55.5681,-42.6088,65.3747,19.5927
0.928,4.2333,2.6556,-0.1793,-0.2458,0.4134,-43.8518,-28.7582,-55.5682,-42.6088,65.3746,19.5928
1.0684,4.0997,2.6101,-0.1976,-0.2693,0.4219,-43.8518,-28.7582,-55.5682,-42.6089,65.3745,19.5928
0.9925,4.19,2.5617,-0.2121,-0.2941,0.3991,-43.8517,-28.7582,-55.5683,-42.6089,65.3744,19.5928
1.0764,3.9481,2.6094,-0.2921,-0.2955,0.4444,-43.8517,-28.7582,-55.5683,-42.609,65.3743,19.5929
1.0835,4.1479,2.5941,-0.2816,-0.3141,0.4424,-43.8517,-28.7582,-55.5684,-42.609,65.3741,19.5929
1.1664,4.034,2.568,-0.3147,-0.3603,0.4881,-43.8517,-28.7582,-55.5684,-42.6091,65.3739,19.593
1.092,3.9304,2.5081,-0.2989,-0.3796,0.4959,-43.8516,-28.7582,-55.5685,-42.6092,65.3736,19.5931
1.1538,3.7689,2.495,-0.3385,-0.396,0.5047,-43.8516,-28.7583,-55.5685,-42.6092,65.3733,19.5932
1.1243,3.7885,2.488,-0.3562,-0.4253,0.4939,-43.8515,-28.7583,-55.5686,-42.6093,65.3729,19.5933
1.05,3.6923,2.422,-0.3888,-0.4544,0.4766,-43.8515,-28.7583,-55.5687,-42.6094,65.3725,19.5935
1.1564,3.7043,2.421,-0.371,-0.4733,0.4818,-43.8514,-28.7583,-55.5688,-42.6095,65.3721,19.5937
1.1932,3.5688,2.3833,-0.4134,-0.499,0.5068,-43.8514,-28.7583,-55.5689,-42.6097,65.3715,19.5939
1.2161,3.6441,2.3312,-0.41,-0.5251,0.4946,-43.8513,-28.7583,-55.569,-42.6098,65.3709,19.5941
1.2606,3.4545,2.3609,-0.4738,-0.5475,0.5038,-43.8512,-28.7583,-55.5691,-42.6099,65.3703,19.5944
1.2098,3.5168,2.3269,-0.5095,-0.5148,0.4856,-43.8512,-28.7583,-55.5692,-42.6101,65.3696,19.5947
1.2539,3.3261,2.2765,-0.5176,-0.5457,0.5274,-43.8511,-28.7583,-55.5693,-42.6102,65.3687,19.595
1.2947,3.4452,2.2838,-0.5591,-0.5391,0.5079,-43.851,-28.7583,-55.5695,-42.6104,65.3678,19.5953
1.3484,3.2402,2.225,-0.5624,-0.5501,0.5377,-43.851,-28.7583,-55.5696,-42.6106,65.3668,19.5956
1.3188,3.2673,2.1729,-0.5396,-0.5387,0.5532,-43.8509,-28.7583,-55.5698,-42.6108,65.3657,19.596
1.37,3.2396,2.2206,-0.5283,-0.5301,0.5543,-43.8508,-28.7583,-55.57,-42.611,65.3644,19.5964
1.365,3.2183,2.1082,-0.6009,-0.5562,0.5665,-43.8507,-28.7583,-55.5702,-42.6112,65.3631,19.5968
1.441,3.1891,2.174,-0.5628,-0.5656,0.5709,-43.8506,-28.7583,-55.5704,-42.6114,65.3616,19.5972
1.4248,3.1603,2.1564,-0.583,-0.5674,0.5366,-43.8505,-28.7583,-55.5706,-42.6117,65.36,19.5977
1.4234,3.098,2.1061,-0.546,-0.5756,0.5362,-43.8504,-28.7583,-55.5708,-42.612,65.3583,19.5982
1.4108,3.101,2.1398,-0.5774,-0.5862,0.583,-43.8503,-28.7583,-55.5711,-42.6123,65.3565,19.5987
1.5199,2.903,2.1364,-0.5946,-0.5804,0.5642,-43.8501,-28.7583,-55.5714,-42.6126,65.3546,19.5993
1.5046,2.9281,2.1676,-0.5812,-0.5557,0.5684,-43.85,-28.7583,-55.5717,-42.613,65.3525,19.5999
1.5452,2.9607,2.0977,-0.5423,-0.5831,0.5584,-43.8499,-28.7584,-55.572,-42.6134,65.3503,19.6006
1.4968,2.9983,2.0598,-0.5755,-0.574,0.5539,-43.8497,-28.7584,-55.5723,-42.6138,65.348,19.6012
1.5696,2.8779,2.1132,-0.6174,-0.6074,0.5541,-43.8496,-28.7584,-55.5727,-42.6143,65.3456,19.602
1.7173,2.7528,2.0919,-0.5888,-0.619,0.5847,-43.8495,-28.7584,-55.5731,-42.6147,65.343,19.6027
1.5885,2.8612,2.078,-0.5617,-0.6,0.5714,-43.8493,-28.7584,-55.5735,-42.6152,65.3403,19.6035
1.6267,2.8348,2.0452,-0.5962,-0.6379,0.5675,-43.8491,-28.7584,-55.5739,-42.6158,65.3374,19.6044
1.6061,2.7525,2.0993,-0.5891,-0.6329,0.5837,-43.849,-28.7584,-55.5744,-42.6164,65.3344,19.6053
1.6499,2.6659,2.0661,-0.6167,-0.6312,0.5862,-43.8488,-28.7584,-55.5748,-42.617,65.3313,19.6062
1.7003,2.7509,2.0979,-0.6102,-0.6223,0.6007,-43.8486,-28.7584,-55.5753,-42.6176,65.328,19.6072
1.623,2.6857,2.0804,-0.6439,-0.6222,0.6356,-43.8484,-28.7584,-55.5758,-42.6183,65.3246,19.6082
1.7421,2.6558,2.0359,-0.6441,-0.6362,0.7136,-43.8482,-28.7584,-55.5764,-42.619,65.321,19.6092
1.7651,2.5931,2.0621,-0.6132,-0.6287,0.6795,-43.848,-28.7584,-55.5769,-42.6197,65.3173,19.6102
1.7484,2.5198,2.0379,-0.6098,-0.6403,0.6654,-43.8477,-28.7584,-55.5775,-42.6205,65.3133,19.6112
1.7685,2.5104,1.99,-0.6542,-0.6392,0.693,-43.8475,-28.7584,-55.5781,-42.6213,65.3093,19.6123
1.7799,2.5827,1.9938,-0.6467,-0.6769,0.6875,-43.8473,-28.7584,-55.5787,-42.6221,65.305,19.6134
1.7989,2.5535,1.9895,-0.7077,-0.6559,0.7049,-43.847,-28.7585,-55.5794,-42.6229,65.3006,19.6146
1.8119,2.4142,1.9824,-0.7144,-0.6654,0.7001,-43.8467,-28.7585,-55.5801,-42.6239,65.296,19.6159
1.6924,2.4783,2.0392,-0.6467,-0.6946,0.7177,-43.8465,-28.7585,-55.5808,-42.6248,65.2912,19.6172
1.7119,2.3282,1.9484,-0.6894,-0.6861,0.7017,-43.8462,-28.7585,-55.5815,-42.6258,65.2863,19.6186
